Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.check,Sentiment - sarah_parents.check,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.check,Sentiment - blue_team.check,blue_team.response,Sentiment - blue_team.response,bill_holiday.check,Sentiment - bill_holiday.check,bill_holiday.response,Sentiment - bill_holiday.response,john_party.check,Sentiment - john_party.check,john_party.response,Sentiment - john_party.response,rebecca_swimming.check,Sentiment - rebecca_swimming.check,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.check,Sentiment - sally_wine.check,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.check,Sentiment - belinda_meeting.check,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.check,Sentiment - lucy_loan.check,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.check,Sentiment - michael_breakfast.check,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.check,Sentiment - sean_call.check,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
12,"Sep 11, 2020 10:47:04 am","Sep 11, 2020 10:57:36 am",Complete,,,,English,,1599835624_5f5b8de8b80132.51811587,positive,absent,5edf196f0ad20d1c592b6f29,0,She hasn't seen them for a couple of weeks.,0,The birds fly off.,0,"The red team, in football.",0,They lose 5-4.,-0.4019,As he has been working hard for months,-0.1027,He spends the entire time naked.,0,Having a dinner party,0.4019,"When he looks down, the potatoes were peeled.",0,Go for a swim in the sea,0,Rebecca gets eaten by a shark,0,A bottle of wine.,0,The neighbour gives her wine,0,For a business meeting,0,The meeting was moved to that office,0,A new car,0,The car dealer gives her a car,0,To have his breakfast,0,"When he looked down, his cup was full",0,To contact his mother.,0,His mother walks around the corner.,0,No,
13,"Sep 11, 2020 10:47:00 am","Sep 11, 2020 10:56:23 am",Complete,,,,English,,1599835620_5f5b8de432b7c9.10347755,positive,absent,5ef21a978041c001e2b10a9b,0,She hasn't seen them in a few weeks.,0,A stranger opens the door to Sarah.,0,"The blue team wants to win against the red team, in a football game.",0.5859,Lightning strikes a nearby tree and it catches on fire. ,-0.5994,Because he has been working hard for months. ,-0.1027,A stranger approaches him with his lost luggage in hand.,0.2263,Having a dinner party.,0.4019,John's fridge freezer short circuits.,0,Go for a swim in the sea.,0,Rebecca is caught in a riptide and pulled out to sea.,0,A bottle of wine.,0,A stray cat runs up to Sally for a head scratch.,0,For a business meeting. ,0,A pigeon flies overhead and poops on her.,0,A new car. ,0,Lucy wins the lottery.,0.5719,To have breakfast.,0,Michael has a seizure. ,0,Sean wants to contact his mother to let her know that he is safe.,0.4404,Sean is almost struck by a swerving motorcycle. ,-0.1796,No,
14,"Sep 11, 2020 10:48:35 am","Sep 11, 2020 11:18:39 am",Complete,,,,English,,1599835715_5f5b8e43bd5423.35178617,positive,absent,5dc0b5fc0016bb061eaec90c,0,She hasn't seen them for a few weeks so wanted to check they are ok and have a catch up and see them in person.,0.296,Sarah's mum opens the door and invites her in. She tells Sarah that her dad is in hospital and they didn't want to worry her as she wasn't allowed to visit him and he was getting better.,0.31145,The Blue team want to win against the Red team playing football.,0.7096,The Blue team have their star striker and goalkeeper both sent off and the game goes into extra time. The Red team wins on penalties. ,0.28595,He has been working hard for months and wants a break.,-0.1027,"Bill had to buy himself some clothes while he waited for the airline to contact him about his lost luggage and as he was out shopping in a local boutique, he explained what happened to the store assistant.  They struck up an instant connection and went out for a date. They fell in love, got married and lived happily ever after!",0.0919,Having a dinner party.,0.4019,"John finished the potatoes and went to fetch the very fancy and expensive salmon that needed marinating. As it was on the worktop, their very naughty and mischievous cat, Mitchell, stole it and they had to serve up Turkey Twizzlers in its place. They did not go well with the 1985 bottle of Sauvignon Blanc ",-0.068566667,She wants to go for a swim in the sea.,0,"Rebecca is disappointed but goes back to her sun lounger.  As she is reading her book, she hears a commotion down at the water's edge.  She looks up and sees a group of people dragging a teenage boy put of the foam, and his friend was yelling Shark! Shark! All the proper authorities were called and the boy survived. Rebecca felt very glad she listened to the lifeguards advice!",0.224183333,A bottle of wine.,0,"It turns out, Sally has a lot in common with her neighbour. They swap numbers, arrange   outings and they become best friends. ",0.4037,Belinda is going to LA for a business meeting.,0,The taxi gets stuck in a protest parade. People everywhere and then suddenly riot police turn up with water cannons and things turn from a peaceful protest to an all out warfare between the protestors and the police. Belinda is stuck in the taxi with nowhere to go and she misses her meeting.,-0.485533333,A new car.,0,"She gets in touch with an online car company to give her a quote on selling her car.  She was their 1,000,000th customer and they dispose of her car and she wins a brand new top of the line car! She doesn't need the loan after all!",0.2332,To have his breakfast.,0,Michael decides to boil the kettle anyways and have coffee instead.  There was a knock at the door and friends who he hasn't seen since his university days where standing there holding a box of PG Tips! What a lovely unexpected surprise!,0.42,Contact his mother to let her know he is ok.,0.296,It turns out Sean never gets to talk to his mother. A drunk driver swerves out of control and instantly kills him as he was just about to say hello. ,-0.3548,No,
15,"Sep 11, 2020 10:48:13 am","Sep 11, 2020 11:13:03 am",Complete,,,,English,,1599835693_5f5b8e2d7a9876.23815515,positive,absent,5f062682437e3d15508d5341,0,Because she hasn't seen them for a few weeks. ,0,I think there was no answer to her knocking on the door.  ,-0.296,The red team and at football. ,0,They concede at least one goal at the start of the second half.  ,0,He has been working hard for months. ,-0.1027,His luggage was found after he returned from holiday. ,0.4019,Having a dinner party. ,0.4019,He finds his peeler. ,0,She wants to go for a swim in the sea. ,0,She decides to continue with her swim ignoring the lifeguards advice. ,-0.4019,A bottle of wine. ,0,Her neighbour gives her or offers to sell her a bottle of wine of their own. ,0,To attend a business meeting. ,0,She has difficulty finding the correct venue and arrives late. ,-0.34,A new car. ,0,The car dealer offered to knock some money off the new car even though her old car was worthless. ,-0.4404,To have his breakfast. ,0,He decided to forgo his tea like he used to at university. ,0.3612,Tell his mother he is safe. ,0.4404,His mother answers his call even though the signal is weak. ,-0.4404,No,
16,"Sep 11, 2020 10:48:10 am","Sep 11, 2020 11:03:44 am",Complete,,,,English,,1599835690_5f5b8e2a282ba3.19552726,positive,absent,579ccf9ebaec1b0001698960,0,She hasn't seen them in a while.,0,Someone other than her parents answers the door.,0,"The Red Team, in football.",0,The Red Team play much better in the second half and beat the Blue Team.,0.6486,He has been hard at work for months.,-0.1027,Bill has a holiday romance.,0.743,Throwing a dinner party.,0.4019,John finds the peeler somewhere unusual.,0,She want's to swim in the sea.,0,A school of sharks is seen swimming close to the beach.,0,A bottle of wine.,0,"The neighbour reveals that s/he owns a vineyard, and offers Sally a free case of wine.",0.5106,For a business meeting.,0,She bumps into someone she knows from back home.,0,A new car.,0,Lucy finds a bag of £50 notes in the boot of the new car.,0,To eat breakfast.,0,He receives a phone call from one of his old university friends who he's not heard from in years.,0.4767,He wants to let his mother know he is ok.,0.296,The person who answers the phone isn't Sean's mother.,0,No,
17,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:02:07 am",Complete,,,,English,,1599835700_5f5b8e34af5893.34485354,positive,absent,5e6590b83b1ae1317a3230a9,0,She misses them and wants to catch up with them.,-0.2263,Her parents might not be at home.,0,They want to win against the Red team in football.,0.6249,The red team got more than four goals after half-time and beat the blue team.,0,He hasn't had a break from work for a long time.,0,His luggage and passport appear in his hotel room just before he needs them to go back home.,0,Having a dinner party.,0.4019,His wife announces shes pregnant.,0,swim in the sea,0,a tsunami happens ,0,a bottle of wine,0,her neighbour had a heart attack on the walk home,-0.4767,to attend a business meeting,0,Barak Obama turns up to attend the meeting also,0,a new car,0,"she buys a second hand car, and while cleaning it she finds a lottery ticket in one of the pockets which wins her 10 thousand pounds.",0.7845,To get some food to eat from the kitchen.,0,A friend from his uni days calls him and asks for a catch up.,0.4939,Talk to his mother on the phone to let her know that he is safe,0.4404,he got robbed and his phone and belongings stolen from him,-0.4939,No,
18,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:05:00 am",Complete,,,,English,,1599835700_5f5b8e34122b37.47798905,positive,absent,5c484b16c41b2a000183c837,0,hasnt seen them in a few weeks,0,she knocked so hard she knocked a hole in the door,-0.2183,"the red team, football",0,"the red team come out after half time and smash 12 passed the blue team, winning the game",0.5267,hes been working hard for months,-0.1027,bill remembers that he didnt pack his passport in his case. it was actually in his hand all along,0.24695,having a dinner party,0.4019,john remembers that he has no wife and actually he's been talking to a life size cut out of john cena for years,-0.5106,go for a swim in the sea,0,david hasslehoff teleports to the beach and overrides the life guards decision. ,0,a bottle of wine,0,"sally and her neighbour decide that they both need wine and decide to break in to the shop. the get caught by the rozzers, Sally gets banged u fir 2 years.  Dont drink kids",0,for a business meeting,0,Belinda calls an uber but optimus prime turns up and takes her to the correct office,0,a new car,0,lewis hamilton arrives in a merc and gifts it to lucy,0,to have his breakfast,0,then michael realises that he actually doesn't like tea at all  and has never been to uni. and he is actually a goat,-0.13775,contact his mother,0,"david beckham turns up with a phone mast, increasing the signal. ",0,No,
19,"Sep 11, 2020 10:49:06 am","Sep 11, 2020 11:02:05 am",Complete,,,,English,,1599835745_5f5b8e61e6e0e4.29555164,positive,absent,5c5f61170a2a3c000123dc45,0,Hasn't seen them for a while,0,Someone else answers the door?,0,The Red team.Football.,0,The Red team score 5 goals in the second half.,0,he has been working hard,-0.1027,his luggage is found,0,dinner party,0.4019,guests cancelled,-0.25,wants to go for a swim,0,an accident,-0.4767,wine,0,the neighbour invites her in for wine,0,business meeting,0,gets lost,-0.3182,a new car,0,no idea,-0.296,To have breakfast,0,No idea,-0.296,contact his mother,0,signal fails,-0.4215,No,
20,"Sep 11, 2020 10:47:05 am","Sep 11, 2020 10:59:51 am",Complete,,,,English,,1599835625_5f5b8de9b0b720.78518854,positive,absent,5e6b9983d4948e1491e34553,0,Because she hasn't seen them for a few weeks,0,Nobody answered the door!,0,The blue team want to win against the red team in the sport football,0.6249,A streaker ran across the pitch,0,Because he's been working hard for months waiting for this holiday,0.4069,How did Bill go on holiday when he lost his passport? Bill did not have a great time on his holiday and now has to file a missing baggage claim and also shell out for a new passport,-0.1588,Having a dinner party,0.4019,"John drops the pot of potatoes on the floor by accident, this was not a good job says his wife",-0.6711,To go for a swim in the sea,0,A shark appears! The lifeguard was right and begins to punch the shark in the head,0,A bottle of lovely jubbly oh so bubbly wine,0.5859,Her neighbour offered her a bottle of wine,0,For a business meeting,0,She got dropped off at the wrong address!,-0.5255,A new car!,0,Someone else at the dealership offered to buy her car from her in cash,0,MICHAEL goes downstairs to make some Tea,0,Suddenly the kettle boiled over and hot water went everywhere!,0,Contact his mother to let her know he's safe,0.4404,His phone dies from low battery,-0.2732,No,
21,"Sep 11, 2020 10:49:41 am","Sep 11, 2020 11:03:42 am",Complete,,,,English,,1599835781_5f5b8e85b40de4.01795178,positive,absent,5ed814fc9e50c230c1efb63c,0,Because she hasn't seen them for a few weeks.,0,Nobody answered the door.,0,They want to win against the red team in football.,0.6249,An unseasonal snow storm caused the match to be abandoned.,-0.4588,Because he has been working hard for months.,-0.1027,He returns home to find out he has lost his job.,-0.3182,Having a dinner party.,0.4019,John remembered his wife died 5 years ago so who was he talking to?,-0.5574,Swim in the sea.,0,The weather took a turn for the worse and the nice weather became a snow storm.,-0.0772,A bottle of wine.,0,She received a bottle of home made wine from her neighbour.,0,For a business meeting.,0,People at the wrong office block knew who she was and insisted she was in the right place.,-0.7184,A new car.,0,"The bank cancelled her loan and she has no car, either old or new.",-0.4939,To have his breakfast.,0,Michael remembered he was 16 nd hadn't been to university yet. What were these memories of?,0,Contact his mother to let her know he's safe.,0.4404,"He spots her walking past where he is, arm in arm with someone who isn't his father.",0,No,
22,"Sep 11, 2020 10:50:31 am","Sep 11, 2020 11:04:58 am",Complete,,,,English,,1599835830_5f5b8eb6e86741.51859962,positive,absent,5ce98960b8a8130019d684dd,0,"Sarah hasn't seen her parents for a few weeks, thus decided to pay them a visit.",-0.1027,"Sarah's parents aren't there. Yet, they are always at home on a Saturday afternoon.",0,The blue team are playing football against the red team. The blue team want to win.,0.4136,"In the second half the red team play really well, scoring 4 goals. The game ends in a penalty shootout.",0.06305,"Bill has been working hard for months, so is looking forward to going on his summer holiday.",0.3182,Bill is reunited with his luggage on the last day of his holiday.,0.4019,John and his wife are having a dinner party that evening.,0.4019,There is a power cut so John is unable to cook the potatoes.,-0.2732,Rebecca wants to swim in the sea whilst at the beach.,0,The weather suddenly changes and there is a huge storm.,0.3182,Sally wants to buy a bottle of wine for her Friday evening dinner.,0,Sally's neighbour gives Sally a bottle of wine as a gift during their interaction.,0.4404,Belinda goes to Los Angeles for a business meeting.,0,"It becomes apparent soon after, that Belinda's watch has stopped and she is in fact late for her meeting.",-0.2263,Lucy wants to buy a new car.,0,Lucy finds a large sum of money in the glovebox of her old car.,0,Michael goes downstairs to have his breakfast.,0,He receives a random text message off one of the friends he used to study with at university.,0.4767,Sean wants to call his mother using his mobile phone whilst in a foreign country.,0,Sean's phone is stolen.,-0.4939,No,
23,"Sep 11, 2020 10:50:14 am","Sep 11, 2020 11:04:16 am",Complete,,,,English,,1599835814_5f5b8ea6c60d70.77204593,positive,absent,59e7362fe75b450001a69349,0,hasn't seen her parents for a few weeks,0,No answer to knocking at the door,-0.296,Red team in football,0,Red team pulled ahead in second half,0,he has been working hard for months,-0.1027,he changed to a holiday in his own country (no passport needed),0.4019,having a dinner party,0.4019,he found a sharp knife to do the job,0,swim in the sea,0,she ignored the lifeguard,-0.3182,a bottle of wine,0,the neighbour offered her a bottle,0,business meeting,0,she walked to the correct venue,0,new car,0,she charmed the car dealer to get a discount,0.4588,to make tea and have breakfast,0,found some teabags in another place,0,contact his mother,0,he found a landline phone,0,No,
24,"Sep 11, 2020 10:50:38 am","Sep 11, 2020 10:58:44 am",Complete,,,,English,,1599835838_5f5b8ebe554796.79006718,positive,absent,5f443f239d4eda77437dae01,0,She hasn't seen them in a while.,0,Someone she doesn't know answered the door.,0,They want to win a game of football against the Red Team.,0.6249,The Red Team manage to take the lead in the second half.,0,He has been working hard for a long time.,-0.1027,Bill finds his luggage when he returns.,0,Having a dinner party.,0.4019,A guest cannot attend the dinner party.,0.4019,Rebecca wants to swim.,0,A shark washes up onto the beach.,0,A bottle of Wine.,0,Her neighbour gives her a bottle of wine to take to her dinner.,0,To attend a business meeting.,0,Belinda's meeting is cancelled.,-0.25,A new car.,0,Her car is worth more than the dealer thinks and she can buy a new one.,0.2263,To have breakfast.,0,Someone knocks on the door.,0,Contact his mother to tell her he is safe.,0.4404,Sean's mother calls him.,0,No,
25,"Sep 11, 2020 10:50:31 am","Sep 11, 2020 10:55:01 am",Complete,,,,English,,1599835831_5f5b8eb7745e30.35666077,positive,absent,595118113e9d730001924f99,0,Sarah hasn't seen her parents for a few weeks,0,There was no answer,-0.296, Red Team in football,0,The red team come back to win,0.5859,Bill is looking forward to going on his summer holidays,0.3818,Bill's luggage is lost,-0.3182,Having a dinner party,0.4019,John cannot find the peeler,0,To go for a swim in the sea,0,The lifeguard tells Rebecca the sea is unsafe to swim,0,A bottle of wine,0,The corner shop is shut,0,Travelling for business,0,Belinda's taxi takes her to the wrong office block,-0.7184,A new car,0,The car dealer said her old car is a wreck and worth nothing,-0.25,to have his breakfast,0,He could not find tea bags,0,wants to contact his mother to let her know he is safe,0.4404,The phone network shows a weak signal,-0.4404,No,
26,"Sep 11, 2020 10:51:20 am","Sep 11, 2020 10:58:14 am",Complete,,,,English,,1599835880_5f5b8ee8329992.37306235,positive,absent,57b4d420869234000179f45a,0,She probably felt as it was such a good day she would pay them a visit,0.3612,Her parents werent there,0,"red team, in football",0,The red team scored,0,He has been working hard for months,-0.1027,Passport was lost,-0.3182,Having a dinner party,0.4019,Guests ring up to cancel,-0.25,Go for a swim in the sea,0,Rebecca goes anyway for a swim,0,bottle of wine,0,Her neighbour asked her for dinner,0,for a business meeting,0,Belinda gets lost,-0.3182,A new car,0,The bank rang to say her loan was accepted,0.2732,To have breakfast,0,Michael found the tea bags!,0,Contact his mother to let her know he is safe.,0.4404,The battery runs down,0,No,
