Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.check,Sentiment - sarah_parents.check,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.check,Sentiment - blue_team.check,blue_team.response,Sentiment - blue_team.response,bill_holiday.check,Sentiment - bill_holiday.check,bill_holiday.response,Sentiment - bill_holiday.response,john_party.check,Sentiment - john_party.check,john_party.response,Sentiment - john_party.response,rebecca_swimming.check,Sentiment - rebecca_swimming.check,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.check,Sentiment - sally_wine.check,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.check,Sentiment - belinda_meeting.check,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.check,Sentiment - lucy_loan.check,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.check,Sentiment - michael_breakfast.check,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.check,Sentiment - sean_call.check,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
12,"Sep 11, 2020 2:35:47 pm","Sep 11, 2020 2:52:35 pm",Complete,,,,English,,1599849347_5f5bc383092900.60818315,negative,present,5f49396f5324cf32b7bee64b,0,"It seems that Sarah decides to visit her parents because she hasn't seen them in a few weeks, but the statement does not explicitly state that this is the reason for her decision. It could also be because it was a lovely spring day and the birds were singing.",0.29295,"The door opened, but the person standing there was neither of Sarah's parents.  A strange male, older than her father, was staring at her with a quizzical look on his face.",-0.10115,The blue team really want to win against the red team. The sport is football.,0.34325,"The red team score 8 goals in the second half, conceding none.",0,He is looking forward to them as he has been working hard for months.,-0.1027,"Bill returns home to find that he has won the lottery, and buys a fancy villa at the holiday destination he had just visited to celebrate.",0.8779,They are having a dinner party,0.4019,John gets angry and tries to stab his wife with the potato peeler.,-0.7964,"She wants to swim in the sea, but the sea is not the beach. She seems to only want to walk on the beach.",0.0386,"Rebecca runs away from the beach without saying a word, leaving the lifeguard speechless.",0,A bottle of wine.,0,Sally remembers that she's schizophrenic and there is no neighbour.,-0.296,For a business meeting.,0,She asks the taxi driver to drive around the building continuously until her meeting time. The driver complies.,0,She wants to buy a new car.,0,"Turns out, the car is a Transformer. However, unlike Shia LaBoeuf's car, this is a Decepticon...",0,To have his breakfast.,0,"His lunatic ex calls him to tell him she is pregnant, and he's the father.",-0.4939,He wants to let his mother know that he is safe.,0.4404,"His mother never answers the phone as she has ghosted Sean, moving house and changing her name and phone number. Sean was a bad son.",-0.23255,No,
13,"Sep 11, 2020 2:35:59 pm","Sep 11, 2020 2:44:30 pm",Complete,,,,English,,1599849359_5f5bc38f1f8e01.10916955,negative,present,56163e6e7ffc8a0005812df2,0,she hasn't seen them for a while,0,Someone else answered the door and told her they had moved out,0,red team at football,0,the red team rapidly score 5 goals,0,he has been working hard for months and needs a break,-0.1027,He comes home to find out he has to self quarantine and he loses his job,-0.3182,having a dinner party,0.4019,John stabbed her with the potato peeler,-0.4404,go swimming in the sea,0,A shark appears and tears off her legs,-0.2263,a bottle of wine,0,they get arrested and get no dinner or wine after all,-0.6486,a business meeting,0,A bomb explodes in the office block and kills her,-0.8625,a new car,0,she wins the lottery and has a new car and is able to keep the old one,0.5719,to have breakfast,0,He flips out in an angry rage and throws the tea pot across the room,-0.7845,call his mum,0,"he gets a crossed line, actually gets through to a spanish waiter called pablo and they fall in love",0.6369,No,
14,"Sep 11, 2020 2:36:04 pm","Sep 11, 2020 2:44:37 pm",Complete,,,,English,,1599849364_5f5bc3947cde53.65036387,negative,present,5ef245fe2d8f67143808d5fc,0,She hasn't seen them for a while ,0,The door was already open ,0,Red team and football,0,The red team scored 4 goals within moments of the second half starting,0,He's been working hard for a while ,-0.1027,"His luggage arrives but when he later opens it, he realises it's not his and was simply identical ",0,Hosting a dinner party ,0.4019,The guests arrived early ,0,Go for a swim ,0,A high wave came in,0,Bottle of wine ,0,She was hit by the neighbour she argued with ,-0.3612,Business meeting,0,It turns out she was actually late ,0,A new car,0,Her car is damaged and stops working ,-0.5423,To have his breakfast ,0,He heard a knock at the door which he wasn't expecting and it turns out to be an old university friend ,0.4939,Call his mum to let her know he is safe ,0.4404,His phone gets robbed from his hands ,0,No,
15,"Sep 11, 2020 2:37:12 pm","Sep 11, 2020 2:51:38 pm",Complete,,,,English,,1599849432_5f5bc3d842dc60.62876022,negative,present,5eea2fdaa3634e0c0787e9fc,0,Sarah decides to visit her parents as she has not seen them for a few weeks.,0,I think that she turns up to see her parent and they are not in.,0,The Blue team want to win against the Red team in the football final.,0.6249,I think that one of the players has to get called off so that the Blue team is one player down.,0,He is looking forward to his holidays because he has been working really hard for months.,0.228,I think that he will be excited to go back to work.,0.34,John and his wife was having a dinner party.,0.4019,i think that everyone cancels.,-0.2263,Rebecca wants to go for a swim in the sea.,0,i think that the sea gets really strong and too dangerous to go in.,0.1263,Sally wants to buy a bottle of wine.,0,The neighbour ends up calling the police ,0,Belinda is going to Los Angeles for a business meeting.,0,I think that she actually gets called into the meeting early.,0,Lucy wants to buy a new car.,0,I think she keeps ends up being convinced to keep her old one.,0.4019,Micheal goes downstairs to have his breakfast.,0,I think that he has flashbacks of university and cant make the tea because of bad memories.,-0.5423,Sean wants to contact his mother to let her know he is safe.,0.4404,I think the signal suddenly cuts off.,-0.296,No,
16,"Sep 11, 2020 2:37:30 pm","Sep 11, 2020 2:46:21 pm",Complete,,,,English,,1599849450_5f5bc3ea376033.34957996,negative,present,58c3d3caabafb2000142055f,0,She hasn't seen them for a few weeks.,0,No-one answered the door.,0,The blue team wants to beat the red team in football.,0,The red team started scoring in the second half.,0,He has been working hard for months.,-0.1027,He wasn't allowed into the country as he couldnt find his passport.,0,They are having a dinner party.,0.4019,He decides to get in take away.,0,She wants to go swimming.,0,A shark is spotted.,0,She wants to buy a bottle of wine.,0,She drops the bottle on her way home.,0,She is going to a business meeting.,0,She decides to go home.,0,She wants to  buy a car.,0,She decides to keep her old car.,0,He goes down to have his breakfast.,0,He changed his mind and decided to have coffee.,0,He wants to let his mother know he is safe.,0.4404,He drops his phone.,0,No,
17,"Sep 11, 2020 2:38:18 pm","Sep 11, 2020 2:53:46 pm",Complete,,,,English,,1599849498_5f5bc41aa1efb7.17305624,negative,present,5873b2d22bd3c90001859b76,0,She hasn't seen them for a few weeks.,0,They weren't in.,0,They want to win against the red team at a game of football.,0.6249,"In the second half, the red team score 4 goals and equalise.",0,He has been working hard for months.,-0.1027,He has to go into isolation because of covid restrictions.,-0.4019,They are having a dinner party.,0.4019,They probably had an argument.,-0.3612,Go for a swim,0,She got sunburn.,0,A bottle of wine for dinner.,0,She dropped the bottle of wine.,0,For a business meeting.,0,she waits until it is time for her to enter.,0,Lucy wants to buy a new car.,0,She decides to keep her old car.,0,To have breakfast,0,He decides to have orange juice instead.,0,He wants to contact his mother.,0,The phone was engaged.,0.4019,No,
18,"Sep 11, 2020 2:38:37 pm","Sep 11, 2020 2:46:09 pm",Complete,,,,English,,1599849517_5f5bc42d5700a9.06998200,negative,present,56671468d87e9100052f7f8b,0,Because she hasn't seen them for a few weeks,0,Her parents weren't home and so nobody came to the door,0,The blue team want to win against the red team at football.,0.6249,The blue team concede some goals unexpectedly and the game becomes close again.,0,Because he's been working hard for months in the time leading up to them.,-0.1027,Something fun happens at the end of what he thought was going to be a bad holiday.,0.3612,Having a dinner party.,0.4019,"John's wife takes over peeling the potatoes, but does even worse at it than John did.",-0.631,Swim in the sea,0,"The bad weather worsens, putting sarah in danger while she's swimming. The lifeguard has to rescue her.",-0.1822,A bottle of wine.,0,"The neighbour smashes the wine she's carrying during the argument, so Sally has to buy more.",-0.3612,For a business meeting.,0,"She miscalculated the time difference between Los Angeles and where she began her journey, and she's actully on time.",0,A new car.,0,"The old car becomes damaged and no longer valuable, so Lucy feels able to keep it.",-0.25,To have breakfast.,0,The teapot falls and breaks while Michael is making tea.,0,Let his mother know he's safe.,0.4404,There's a sudden phone network outage and he can't call her.,0,No,
20,"Sep 11, 2020 2:39:32 pm","Sep 11, 2020 2:47:51 pm",Complete,,,,English,,1599849572_5f5bc464b6a866.65948808,negative,present,5f258c2c43c6770008f8abd2,0,Because she hasn't seen her parents in a few weeks ,0,Someone she wasn't expecting to answer the door does,0,They want to win against the Red team in a football match ,0.6249,The Red team scores and catches up ,0,Because he was working hard,-0.1027,He started to enjoy himself,0.4939,Having a dinner party ,0.4019,Guests arrived early,0,She wants to swim ,0,Because of the weather the sea was rough for swimming,0,A bottle of wine ,0,The fight is resolved quickly,-0.2263,For a business meeting,0,People started to arrive to the meeting ,0,A new car ,0,She didn't need to get a loan ,0,To have his breakfast ,0,He found a tea bag,0,Contact his mother ,0,He couldn't make the call,0,No,
22,"Sep 11, 2020 2:40:03 pm","Sep 11, 2020 2:50:21 pm",Complete,,,,English,,1599849602_5f5bc482f12e33.91787923,negative,present,5ea178df379a6e02ab6c726f,0,Because she hasn't seen them for a few weeks,0,A car crashed through the Garden wall,0,Against the red team at football ,0,A streaker ran on to the pitch,0,Because hes been working hard for months,-0.1027,On the way home he site next to a beautiful woman on the plan and they hit it off and 6 months later get married ,0.5994,Having a diner party ,0.4019,An owl flys into the kitchen window ,0,Go for a swim,0,Rebecca goes for a swim and a seal pops up next to her,0,A bottle of win,0.5859,In the argument she is not looking where she is going and walks into a lamppost ,-0.3612,For a business meeting,0,A bear that has escaped from the zoo runs down the street and steels her bag ,0,A new car,0,Lucy keeps the old car but buys a new one as well,0.3919,To have his breakfast ,0,Hi found a strange man sleeping on his sofa,-0.2023,Call his mother ,0,Hi mother tells him she has left his father and moved in with the pool boy ,0,No,
23,"Sep 11, 2020 2:40:04 pm","Sep 11, 2020 3:06:56 pm",Complete,,,,English,,1599849604_5f5bc484d95a53.76824651,negative,present,5e9ddd3544570614a6def456,0,Because she hasn't seen them in a few weeks.,0,The door opened when she knocked as if it was already opened.,0,The red team in football,0,The quarterback getd injured,-0.4019,Because he has been working hard,-0.1027,He meets a beautiful woman and falls in love,0.8442,A dinner party,0.4019,He blows up over the comment because she is always criticizing him,-0.3612,Go for a swim,0,The storm moves I quickly and the waves start to pull Rebecca under,0,A bottle of wine,0,She throws the bottle of wine out of anger and ruins her birthday,-0.765,For a business meeting,0,She decides to stop for a lunch and a walk and ends up late for the meeting,-0.296,A new car,0,The car is found to need expensive repairs.,0,To have breakfast,0,He throws the tea away and decides to start over and follow his dream from before university,0.25,Call his mother to let her know he is ok,0.296,A strange man answers the phone,-0.2023,No,
24,"Sep 11, 2020 2:40:39 pm","Sep 11, 2020 2:46:26 pm",Complete,,,,English,,1599849639_5f5bc4a7433be9.21990515,negative,present,5aff1adb293d310001021738,0,she hasnt seen them for a few weeks ,0,nobody answered,0,"they win agaist the red team, in footbll ",0.5859,the red team score more and win intead ,0.6222,he has been workig hard for months ,-0.1027,he has a terrible time on the holiday,-0.1027,having a dinnner party ,0.4019,they have a big argument ,-0.3612,go for a swim in the sea ,0,there is a storm ,0,a bottle of wine ,0,she forgets to go to the shop ,0,for a business meeting ,0,the metting goes badly ,-0.4767,hers is old ,0,she keeps the old car ,0,to have breakfast ,0,he gets sad thinking about the ba days ,-0.4767,wants to contact his mother and let her know hes ssafe ,0,the phone call cuts off,-0.296,No,
25,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:49:13 pm",Complete,,,,English,,1599849641_5f5bc4a99597f7.37505522,negative,present,5d4b36bf137506001bb6b366,0,Because she hasn't seen them for a few weeks ,0,One of them was unconscious.,0,Red time in football. ,0,They lost ,-0.3182,He's been working hard for months ,-0.1027,He lost his suitcase,-0.3182,Having a dinner party ,0.4019,They cancel,-0.25,Swim in the sea,0,She gets into trouble in the water. ,-0.4019,Wine,0,Her neighbour hits her,0,For a meeting ,0,She had the wrong meeting day,-0.4767,A new car,0,She crashes the new car,0,To have breakfast and tea,0,He starts crying about his memories,-0.4767,His mother ,0,He gets his phone stolen,-0.4939,No,
26,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:48:25 pm",Complete,,,,English,,1599849641_5f5bc4a9607516.67899907,negative,present,5ea858d3147cf42814e07612,0,Because she hasn't seen them for a few weeks.,0,Someone else answers.,0,They want to win a football game against the red team.,0.6249,The blue team lost a bunch of goals.,-0.3182,Because he has been working hard for months.,-0.1027,He lost his passport.,-0.3182,Having a dinner party.,0.4019,A fire starts.,-0.34,Swim in the sea.,0,A storm happens and she is stuck at sea.,-0.25,A bottle of wine.,0,Someone steals her wine.,-0.5106,For a business meeting.,0,She was dropped off at the wrong place.,-0.4767,A new car.,0,She decides not to sell it.,0,To have breakfast.,0,He spills boiling water on himself.,0,He wants to contact his mother.,0,She doesn't pick up.,0,No,
27,"Sep 11, 2020 2:40:27 pm","Sep 11, 2020 2:50:42 pm",Complete,,,,English,,1599849627_5f5bc49b7c3b87.32227681,negative,present,5d9db80fad89d50017a880e6,0,As she hasn't seen them for a few weeks,0,When Sarah knocks on the door the house explodes,0,The red team and football,0,"There was a lightning strike that killed all of the blue team, this meant the red team won",-0.3182,as he has been working hard for months,-0.1027,"on his way home from the worst holiday ever Bill meets someone, in time they fall in love, get married and have children, after 50 years marriage they commit suicide together when Bill finds out he has a terminal illness",-0.4939,having a dinner party,0.4019,john kills his wife with the peeler and serves her to the guests later,-0.5423,swim in the sea,0,while swimming Rebecca gets caught in a strong current.  Luckily a dolphin is going past and gives her a ride back to shore,0.5106,a bottle of wine,0,the neighbour trips and dies after hitting his head.  as no one saw what happened but heard the argument Sally is convicted of murder and spends the rest of her life in prison,-0.47525,for a business meeting,0,"the taxi abducts Belinda, takes her to the church of Scientology where she is indoctrinated and spends the rest of her life as tom cruises wife",-0.1027,a new car,0,the old car spontaneously combusts,0,to have his breakfast,0,all michaels university roommates jump out and yell surprise.  They had planted the tea bags as a joke but are there for michaels birthday,0.21315,call his mother,0,sean spoke to his mother and during the call his mother said that she was moving to another country and would never see him again,0,No,
28,"Sep 11, 2020 2:41:21 pm","Sep 11, 2020 3:07:44 pm",Complete,,,,English,,1599849681_5f5bc4d150d763.28981989,negative,present,5e9f5bbf176a980b6531f799,0,Sarah decides to visit her parents because she hasn't seen them for a few weeks.,0,"Her mother dashes out of the front door screaming and looking beshevelled. Her father follows, also shouting. Both look distressed. It is clear to Sarah that this is not ordinary arguement that she has stumbled upon,",-0.105375,The Blue Team want to win against the Red Team in a football final.,0.6249,"Then, the winning goal scorer of the Blue Team is tackled badly and has to be rushed to hospital with a suspect broken ankle.",-0.6124,Bill is looking forward to his holidays because he has been working hard for months.,0.296,He learns that his mother has died.,-0.5574,John and his wife are having a dinner party. ,0.4019,"After listening to his wife's complaints about his lack of potato peeling skills, John turns round to her and tells her that he is having an affair and is leaving her. ",-0.6124,Rebacca wants to go for a swim in the sea.,0,"Rebecca decides to swim despite the bad weather. The water is actually calm, but she develops cramp and is unable to swim back to shore. She is found later swept up on a deserted part of the beach along the coast.",0.0968,Sally wants to buy a bottle of wine.,0,There is only one bottle of red on the shelf and Sally and her neighbour argue over who is going to get it.,-0.34,Belinda is going to LA for a business meeting.,0,"Then, her favourite film star jumps into her recently vacated taxi.",0,Lucy wants to buy a new car. ,0,Lucy decides to sell her old car and goes sailing around the world with the money that she got.,0,Michael foes downstairs to make a cup of tea.,-0.4588,"Absentmindly, Michael pours boiling water from the kettle over his hand.",0.4939,Sean want so phone his mother to let her know that he is safe in a forighn country.,0.4939,Sean sees a colleague and decides to go for a beer with them instead of calling his mother. ,0,No,
29,"Sep 11, 2020 2:41:50 pm","Sep 11, 2020 2:51:08 pm",Complete,,,,English,,1599849710_5f5bc4ee7447f5.64887714,negative,present,5f1968d176ea4f02a1729bdc,0,She misses them.,-0.2263,A bird flies into the house window and dies.,0,They want to beat the red team at football.,0.0772,The red team recover and win the match.,0.5859,He has been working hard.,-0.1027,Bill gets fired when he returns to work.,-0.5574,Hosting a dinner party. ,0.4019,John's wife spills wine all over herself and can't stop laughing.,-0.1877,Swim.,0,A storm arrives and she is swept out to sea.,0,Wine.,0,Her neighbour reveals she knows Sally is having an affair with her husband.,0,"For work, and because she wants to visit it herself.",0,"She sees a woman in a white dress walking past and begins to follow her, ignoring her meeting.",-0.4019,A new car.,0,"Her old, valuabel car is stolen as used as a getaway vehicle.",-0.4939,To make tea because he's tired.,-0.4404,An old university friend suddenly calls to invite him to a party.,0.7579,To call his mum.,0,She tells him his father has died.,-0.5574,No,
