,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.response,Sentiment - blue_team.response,bill_holiday.response,Sentiment - bill_holiday.response,john_party.response,Sentiment - john_party.response,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
17,5f5bc38846d1423622c5a7d7,57bdd76370808a00012d9829,APPROVED,35:55.4,46:06.8,611.355,36,58:22.7,40D80FA4,United Kingdom,Male,11,"Sep 11, 2020 2:35:57 pm","Sep 11, 2020 2:46:03 pm",Complete,,,,English,,1599849357_5f5bc38d66f487.05210665,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,57bdd76370808a00012d9829,0,they're not there to open the door ,0,the red team come back to win 5-4,0.5859,his  passport is not in his luggage ,0,tells his wife to go have a bath and he will finish dinner ,0,a huge storm came ,0.3182,her neighbour turns up with some chocolates to appologize ,0,the driver says no charge ,-0.296,she wins a new car instead and gets to keep her old car,0.5719,a genie appeared from the pot of tea when he rubbed it ,0,she was very upset as he didnt tell her he was going to a different country ,-0.4391,No,
18,5f5bc38e91f8b63584ef4d6c,5ef245fe2d8f67143808d5fc,APPROVED,36:03.3,44:40.0,516.646,23,58:24.8,40D80FA4,United Kingdom,Female,14,"Sep 11, 2020 2:36:04 pm","Sep 11, 2020 2:44:37 pm",Complete,,,,English,,1599849364_5f5bc3947cde53.65036387,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",,negative,present,5ef245fe2d8f67143808d5fc,0,The door was already open ,0,The red team scored 4 goals within moments of the second half starting,0,"His luggage arrives but when he later opens it, he realises it's not his and was simply identical ",0,The guests arrived early ,0,A high wave came in,0,She was hit by the neighbour she argued with ,-0.3612,It turns out she was actually late ,0,Her car is damaged and stops working ,-0.5423,He heard a knock at the door which he wasn't expecting and it turns out to be an old university friend ,0.4939,His phone gets robbed from his hands ,0,No,
19,5f5bc3a6fcfd0835f1518096,5b942e793fe4370001e627e0,APPROVED,37:49.5,41:38.5,228.979,66,58:26.9,733C401E,United Kingdom,Male,36,"Sep 11, 2020 2:42:03 pm","Sep 11, 2020 3:16:27 pm",Complete,,,,English,,1599849723_5f5bc4fb41b4c1.43770047,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5b942e793fe4370001e627e0,0,Someone she doesn't know answers the door.,0,A spectator suddenly runs onto the pitch.,0,He meets an ex-girlfriend and they really start to hit it off.,0,The family they have invited phone to say their car has broken down and they might not be able to make it.,-0.4767,There is a sudden cry for help and Rebecca sees a woman in the sea waving desperately and shouting.,-0.4588,"She meets another neighbour who had seen the argument, and, commiserating with Sally, invites her to dine with their family.",-0.3612,"She hears the fire alarm of the building go off, and people start to hurry out of the building.",-0.5859,"Another customer, setting out on a test drive backed into her old car and dented it.",0.0258,There is a sudden power cut before the water has started to boil.,-0.2732,"He is answered by a voice he doesn't recognise, who immediately hangs up when Sean identifies himself.",0,No,
20,5f5bc3cb66811136732c0a16,5eea2fdaa3634e0c0787e9fc,APPROVED,37:09.8,51:42.5,872.693,19,58:28.7,40D80FA4,United Kingdom,Female,15,"Sep 11, 2020 2:37:12 pm","Sep 11, 2020 2:51:38 pm",Complete,,,,English,,1599849432_5f5bc3d842dc60.62876022,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36",,negative,present,5eea2fdaa3634e0c0787e9fc,0,I think that she turns up to see her parent and they are not in.,0,I think that one of the players has to get called off so that the Blue team is one player down.,0,I think that he will be excited to go back to work.,0.34,i think that everyone cancels.,-0.2263,i think that the sea gets really strong and too dangerous to go in.,0.1263,The neighbour ends up calling the police ,0,I think that she actually gets called into the meeting early.,0,I think she keeps ends up being convinced to keep her old one.,0.4019,I think that he has flashbacks of university and cant make the tea because of bad memories.,-0.5423,I think the signal suddenly cuts off.,-0.296,No,
21,5f5bc3dfa6d2af35a38b0673,58c3d3caabafb2000142055f,APPROVED,37:26.4,46:29.0,542.617,58,58:30.7,40D80FA4,United Kingdom,Female,16,"Sep 11, 2020 2:37:30 pm","Sep 11, 2020 2:46:21 pm",Complete,,,,English,,1599849450_5f5bc3ea376033.34957996,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36",,negative,present,58c3d3caabafb2000142055f,0,No-one answered the door.,0,The red team started scoring in the second half.,0,He wasn't allowed into the country as he couldnt find his passport.,0,He decides to get in take away.,0,A shark is spotted.,0,She drops the bottle on her way home.,0,She decides to go home.,0,She decides to keep her old car.,0,He changed his mind and decided to have coffee.,0,He drops his phone.,0,No,
22,5f5bc414d99525367aaf6936,5873b2d22bd3c90001859b76,APPROVED,38:16.8,53:48.2,931.413,41,58:32.8,40D80FA4,United Kingdom,Male,17,"Sep 11, 2020 2:38:18 pm","Sep 11, 2020 2:53:46 pm",Complete,,,,English,,1599849498_5f5bc41aa1efb7.17305624,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.14.2 Chrome/77.0.3865.129 Safari/537.36",,negative,present,5873b2d22bd3c90001859b76,0,They weren't in.,0,"In the second half, the red team score 4 goals and equalise.",0,He has to go into isolation because of covid restrictions.,-0.4019,They probably had an argument.,-0.3612,She got sunburn.,0,She dropped the bottle of wine.,0,she waits until it is time for her to enter.,0,She decides to keep her old car.,0,He decides to have orange juice instead.,0,The phone was engaged.,0.4019,No,
23,5f5bc42452e427362303b431,56671468d87e9100052f7f8b,APPROVED,38:34.9,46:11.6,456.679,26,58:34.7,40D80FA4,United Kingdom,Male,18,"Sep 11, 2020 2:38:37 pm","Sep 11, 2020 2:46:09 pm",Complete,,,,English,,1599849517_5f5bc42d5700a9.06998200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:80.0) Gecko/20100101 Firefox/80.0,,negative,present,56671468d87e9100052f7f8b,0,Her parents weren't home and so nobody came to the door,0,The blue team concede some goals unexpectedly and the game becomes close again.,0,Something fun happens at the end of what he thought was going to be a bad holiday.,0.3612,"John's wife takes over peeling the potatoes, but does even worse at it than John did.",-0.631,"The bad weather worsens, putting sarah in danger while she's swimming. The lifeguard has to rescue her.",-0.1822,"The neighbour smashes the wine she's carrying during the argument, so Sally has to buy more.",-0.3612,"She miscalculated the time difference between Los Angeles and where she began her journey, and she's actully on time.",0,"The old car becomes damaged and no longer valuable, so Lucy feels able to keep it.",-0.25,The teapot falls and breaks while Michael is making tea.,0,There's a sudden phone network outage and he can't call her.,0,No,
26,5f5bc47ea4d19c367b0d351d,5e9ddd3544570614a6def456,APPROVED,40:02.2,07:00.4,1618.198,35,58:36.3,40D80FA4,United States,Female,23,"Sep 11, 2020 2:40:04 pm","Sep 11, 2020 3:06:56 pm",Complete,,,,English,,1599849604_5f5bc484d95a53.76824651,"Mozilla/5.0 (Linux; Android 10; SM-G986U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.101 Mobile Safari/537.36",,negative,present,5e9ddd3544570614a6def456,0,The door opened when she knocked as if it was already opened.,0,The quarterback getd injured,-0.4019,He meets a beautiful woman and falls in love,0.8442,He blows up over the comment because she is always criticizing him,-0.3612,The storm moves I quickly and the waves start to pull Rebecca under,0,She throws the bottle of wine out of anger and ruins her birthday,-0.765,She decides to stop for a lunch and a walk and ends up late for the meeting,-0.296,The car is found to need expensive repairs.,0,He throws the tea away and decides to start over and follow his dream from before university,0.25,A strange man answers the phone,-0.2023,No,
27,5f5bc47fc40c04365f0192c6,5ea178df379a6e02ab6c726f,APPROVED,39:59.7,50:23.7,624.058,45,58:38.3,40D80FA4,United Kingdom,Male,22,"Sep 11, 2020 2:40:03 pm","Sep 11, 2020 2:50:21 pm",Complete,,,,English,,1599849602_5f5bc482f12e33.91787923,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5ea178df379a6e02ab6c726f,0,A car crashed through the Garden wall,0,A streaker ran on to the pitch,0,On the way home he site next to a beautiful woman on the plan and they hit it off and 6 months later get married ,0.5994,An owl flys into the kitchen window ,0,Rebecca goes for a swim and a seal pops up next to her,0,In the argument she is not looking where she is going and walks into a lamppost ,-0.3612,A bear that has escaped from the zoo runs down the street and steels her bag ,0,Lucy keeps the old car but buys a new one as well,0.3919,Hi found a strange man sleeping on his sofa,-0.2023,Hi mother tells him she has left his father and moved in with the pool boy ,0,No,
28,5f5bc4961a328c352fe86601,5d9db80fad89d50017a880e6,APPROVED,40:25.9,50:45.7,619.85,40,58:40.3,40D80FA4,United Kingdom,Male,27,"Sep 11, 2020 2:40:27 pm","Sep 11, 2020 2:50:42 pm",Complete,,,,English,,1599849627_5f5bc49b7c3b87.32227681,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5d9db80fad89d50017a880e6,0,When Sarah knocks on the door the house explodes,0,"There was a lightning strike that killed all of the blue team, this meant the red team won",-0.3182,"on his way home from the worst holiday ever Bill meets someone, in time they fall in love, get married and have children, after 50 years marriage they commit suicide together when Bill finds out he has a terminal illness",-0.4939,john kills his wife with the peeler and serves her to the guests later,-0.5423,while swimming Rebecca gets caught in a strong current.  Luckily a dolphin is going past and gives her a ride back to shore,0.5106,the neighbour trips and dies after hitting his head.  as no one saw what happened but heard the argument Sally is convicted of murder and spends the rest of her life in prison,-0.47525,"the taxi abducts Belinda, takes her to the church of Scientology where she is indoctrinated and spends the rest of her life as tom cruises wife",-0.1027,the old car spontaneously combusts,0,all michaels university roommates jump out and yell surprise.  They had planted the tea bags as a joke but are there for michaels birthday,0.21315,sean spoke to his mother and during the call his mother said that she was moving to another country and would never see him again,0,No,
29,5f5bc4995b5eb43683559a08,5af5d34e25561e00013ab3d7,APPROVED,41:45.6,02:45.1,1259.543,54,58:42.1,40D80FA4,United Kingdom,Female,35,"Sep 11, 2020 2:41:47 pm","Sep 11, 2020 3:02:43 pm",Complete,,,,English,,1599849707_5f5bc4eb209680.45630015,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36 Edg/85.0.564.44",,negative,present,5af5d34e25561e00013ab3d7,0,they are not in as she expected maybe out enjoying the good weather,0.743,they lose a player to injury,-0.6705,someone returns the passport he reported stolen and he can enjoy his holiday now he does not have to get a new one.,0.4019,She asks her husband to leave her in charge of kitchen and mix her a gin and tonic,-0.0516,A pod of Dolphins swim close by,0,Someone she has not seen in ages appears to visit her out of the blue. They have brought a much nicer bottle of wine.,0.2202,The doorman of the building told her about an extraordinary little coffee shop that is tucked a way near by a secret special place ideal to ilde away some time.,0.7269,the dealer offers her very good price for it and she can get the car she really likes,0.742,He had no milk someone had used it so he had to go to the shop,-0.296,his mum calls him on his mobile face timing him and cheered him right up,0.5106,No,
30,5f5bc49c8bceaa35760701cf,5ea858d3147cf42814e07612,APPROVED,40:39.2,48:27.3,468.11,20,58:44.3,40D80FA4,United States,Male,26,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:48:25 pm",Complete,,,,English,,1599849641_5f5bc4a9607516.67899907,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",,negative,present,5ea858d3147cf42814e07612,0,Someone else answers.,0,The blue team lost a bunch of goals.,-0.3182,He lost his passport.,-0.3182,A fire starts.,-0.34,A storm happens and she is stuck at sea.,-0.25,Someone steals her wine.,-0.5106,She was dropped off at the wrong place.,-0.4767,She decides not to sell it.,0,He spills boiling water on himself.,0,She doesn't pick up.,0,No,
31,5f5bc49d69102536ff6a47ad,5aff1adb293d310001021738,APPROVED,40:36.5,46:28.7,352.171,21,58:46.2,40D80FA4,United Kingdom,Female,24,"Sep 11, 2020 2:40:39 pm","Sep 11, 2020 2:46:26 pm",Complete,,,,English,,1599849639_5f5bc4a7433be9.21990515,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:79.0) Gecko/20100101 Firefox/79.0,,negative,present,5aff1adb293d310001021738,0,nobody answered,0,the red team score more and win intead ,0.6222,he has a terrible time on the holiday,-0.1027,they have a big argument ,-0.3612,there is a storm ,0,she forgets to go to the shop ,0,the metting goes badly ,-0.4767,she keeps the old car ,0,he gets sad thinking about the ba days ,-0.4767,the phone call cuts off,-0.296,No,
